node,degree_centrality,betweenness_centrality,eigenvector_centrality,community
5,0.0018248175182481751,0.000870708175983133,0.003951969418482757,20
33,0.0018248175182481751,0.0008673721293318566,0.016719522583589493,2
6,0.0018248175182481751,0.0008006511963063291,3.45398155365327e-05,22
1,0.0018248175182481751,0.0007305942166295253,0.580746189509386,1
617,0.0018248175182481751,0.0006838895635116562,0.00013518502572852146,20
22,0.0018248175182481751,0.0006138325838348523,0.0007382890173430958,20
4,0.0018248175182481751,0.0005004069976914557,0.11422317736152182,13
29,0.0018248175182481751,0.0004436942046197574,6.513270234664082e-06,22
947,0.0018248175182481751,0.00043702211131720466,0.07328450581096041,2
26,0.0018248175182481751,0.00042701397136337554,1.5207139460960545e-06,23
82,0.0018248175182481751,0.0003736372249429536,4.036122342121563e-06,5
126,0.0018248175182481751,0.0003402767584301899,1.7947042233046988e-05,5
253,0.0018248175182481751,0.0003402767584301899,0.12158250395129357,1
62,0.0018248175182481751,0.00030691629191742617,0.00085094152112385,21
144,0.0018248175182481751,0.00030024419861487343,9.856400663173314e-05,5
15,0.0018248175182481751,0.00025353954549700423,0.14880370847472485,6
386,0.0018248175182481751,0.00025353954549700423,0.0005455238301138694,5
16,0.0018248175182481751,0.00022685117228679326,0.00506721815097475,3
85,0.0018248175182481751,0.00022017907898424051,0.0033953614664667055,12
75,0.0018248175182481751,0.00021350698568168777,0.12101441362538183,3
101,0.0018248175182481751,0.00020016279907658229,0.0036668282937351838,8
232,0.0018248175182481751,0.00020016279907658229,0.0030200755633362237,5
21,0.0018248175182481751,0.00020016279907658229,0.02349304826314068,3
287,0.0018248175182481751,0.00016013023926126583,2.8765313863352493e-05,21
503,0.0018248175182481751,0.00016013023926126583,0.01899350509274476,8
983,0.0018248175182481751,0.00015345814595871309,0.015729306284233954,12
219,0.0018248175182481751,0.00015012209930743671,0.0010134804209927053,3
456,0.0018248175182481751,0.00015012209930743671,0.00015388019828089004,21
49,0.0018248175182481751,0.00015012209930743671,0.004270730751106554,18
31,0.0018248175182481751,0.0001401139593536076,0.00012831086446704954,8
331,0.0018248175182481751,0.0001401139593536076,0.028761528930191422,14
210,0.0018248175182481751,0.00013344186605105486,0.11673973646955117,11
649,0.0018248175182481751,0.00013344186605105486,0.0006638767989050297,8
140,0.0018248175182481751,0.00013010581939977849,0.08652494797278201,4
8,0.0018248175182481751,0.00012676977274850211,0.01471991434133027,9
18,0.0018248175182481751,0.00012343372609722574,0.0902846380404996,19
